"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",7698.28219478975,-0.0907664213338375,0.0872116529563227,-1.04076024541462,0.297986834825674,0.89101984492282
"2",7602.29068424169,-0.2126610482338,0.145149225053139,-1.46512010764056,0.142888151586646,0.726595475211268
"3",7593.67817710998,0.00454626368419597,0.0759240985530228,0.0598790604148038,0.952251957332585,0.998913794520388
"4",7751.86104645747,-0.158503842418995,0.319915489207383,-0.495455355449346,0.620278728453095,0.998913794520388
"5",7629.4699945745,-0.0647191988428768,0.0776461913166179,-0.833514145967202,0.404554823150535,0.951093583974748
"6",7754.22319371468,-0.24052707670719,0.170454943524106,-1.41108888797452,0.15821840608341,0.748870248007394
"7",7550.3885835715,0.507196347622661,0.138186567698767,3.67037372784524,0.000242196093442302,0.0101221263880024
"8",7369.18146529038,-0.104044138107519,0.185653112689801,-0.560422266021263,0.575191447661842,0.998837866848287
"9",7813.3882937376,-0.289271440370842,1.10830743366142,-0.261002887452628,0.794090280551673,0.998913794520388
"10",7608.49380238146,0.129562500357639,0.0839356848657417,1.5435925800198,0.12268706369321,0.683074576884564
"11",7612.97517259903,0.0759414837061858,0.0794335508509697,0.956037881885255,0.339053096111135,0.922116391175476
"12",7637.82654880944,-0.0278193987480683,0.0499931605594253,-0.556464093023289,0.577893634432916,0.998913794520388
"13",7655.47535267782,0.0615875313077282,0.102379369882816,0.601561929695619,0.54746577673135,0.992872045190151
"14",7221.22275588548,-2.89109429503913,1.10664872806168,-2.61247695111252,0.00898887532428644,0.175665035061392
"15",7601.47615851398,0.0845208538385531,0.100312852811098,0.842572526550674,0.399467561633546,0.948578927703482
"16",7583.23544043133,-0.017218636719626,0.0368813469265509,-0.46686572358425,0.640595949885919,0.998913794520388
"17",7629.38242535811,0.0380100196985021,0.200868914652355,0.189227983654346,0.849914136069429,0.998913794520388
"18",7571.31636024248,-0.332812735882468,0.156270786057142,-2.12971819160601,0.0331948861873282,0.378359267012932
"19",1.01042243771596,0.0428799079639797,0.36174759702429,0.118535432762254,0.905643421702434,0.998913794520388
"20",7628.23371428611,-0.394931945912358,0.173684296908235,-2.27384946677717,0.0229750388848363,0.307091093720792
"21",7574.93309249466,0.0848505986637443,0.102239007205048,0.829923930047267,0.406581794125655,0.951589951452254
"22",7607.53291799113,0.0138637252546106,0.0661258355757638,0.209656711841867,0.833935613518475,0.998913794520388
"23",7715.28282345675,-0.152165233350144,0.748294545419706,-0.203349381980055,0.838861960487451,0.998913794520388
"24",7647.63900788028,0.0168667854827416,0.0553861546469825,0.304530718737314,0.760723593197875,0.998913794520388
"25",357.658916446474,-9.6054171121302,0.71433992201657,-13.4465634862101,3.22516106811164e-41,3.61934742088085e-39
"26",7632.68672415426,-0.067932196185342,0.0570621969272657,-1.19049387937047,0.233852334244651,0.841232397856008
"27",7562.82491856342,-0.000390116703062787,0.0518243317003056,-0.0075276745548556,0.993993841418033,0.999764169615705
"28",7444.91265265054,1.84020165901556,1.13171479689783,1.62602951208183,0.103943377392434,0.647421920428444
"29",7675.28291219915,-0.160138198566946,0.0947197959337297,-1.69065185358915,0.090903314866341,0.610950929489863
"30",7554.83363289816,0.126498969912574,0.285909418369358,0.442444221089472,0.658167785235418,0.998913794520388
"31",7570.17506862531,0.0323481679745922,0.0407655586908067,0.793517101530298,0.427476609581705,0.962021705592899
"32",7568.92467898465,-0.047336339026132,0.0591897873301784,-0.79973828529026,0.423862446121303,0.961184890917462
"33",7622.77000810465,0.160984720945008,0.0667001774096447,2.41355761254287,0.0157976301405052,0.255289703070565
"34",7634.57589219172,0.100452351146943,0.0411205957964496,2.44287197695749,0.0145709051009379,0.241047715265491
"35",1.01042243771596,0.0428799079639797,0.36174759702429,0.118535432762254,0.905643421702434,0.998913794520388
"36",7620.32271386219,-0.0322969966312818,0.0840294448536684,-0.384353326236116,0.700716588914865,0.998913794520388
"37",7690.92941468216,0.20522623698276,0.124709078182202,1.64563991630923,0.0998379159405962,0.635139812497318
"38",7619.8405100514,0.0701742341207141,0.142618806800706,0.492040535851452,0.622690687809768,0.998913794520388
"39",3091.58283425457,-1.514642830568,0.848549510596559,-1.7849787333012,0.0742647664787486,0.560837459735215
"40",8045.95354459499,-0.610628552257077,1.07480315688171,-0.568130590561969,0.569946297503995,0.996830908935081
"41",7638.632620527,-0.153701564400291,0.0928977956684929,-1.6545232671481,0.0980212398367188,0.631462973121255
"42",7606.74856564444,-0.0539976308654398,0.155478124190548,-0.347300503826907,0.728365572317385,0.998913794520388
"43",7606.91116807848,-0.164978099716118,0.218867606038579,-0.753780345580414,0.450981127664586,0.963640904615193
"44",7550.16866176904,0.00183153809966827,0.0671390836436971,0.0272797601675371,0.978236599907182,0.998913794520388
"45",7648.69939907895,0.0630346009683095,0.0736341913581587,0.856050698807942,0.391969736941739,0.943373511740112
"46",7617.94336899049,-0.000645437218768284,0.0421176302392349,-0.0153246328224569,0.987773190639088,0.998913794520388
"47",7566.34368475679,-0.0818613100721635,0.0448737817503836,-1.8242569910316,0.0681132292554602,0.538624840306336
"48",7658.64733164471,0.116865176671273,0.180503564328149,0.647439717361015,0.517347397731419,0.984274845705044
"49",7634.89496615836,0.755804720239369,0.172400081522588,4.38401602577167,1.16511196488103e-05,0.0006322906125832
"50",7641.85950130745,0.00687853170832918,0.0849752019645949,0.0809475182088432,0.935483689861768,0.998913794520388
"51",7615.99130433088,0.0228724433194914,0.0423356282256854,0.540264648904265,0.589014534061792,0.998913794520388
